代码,名称,现价,总股本,流通A股,第一流通股东,第一流通股东股本,百份比,股东性质
600000,浦发银行,9.84,1865347.141,1492277.713,上海国际集团有限公司,242886.0,16.927,国有股
600004,白云机场,7.89,115000.0,115000.0,广东省机场管理集团公司,71259.1,61.965,国有股
600005,武钢股份,4.15,1009377.982,1009377.982,武汉钢铁(集团)公司,507202.0,64.709,国有股
600006,东风汽车,4.38,200000.0,200000.0,东风汽车有限公司,120200.0,60.1,境内法人股
600007,中国国贸,9.08,100728.253,100728.253,中国国际贸易中心有限公司,80960.8,80.376,境内法人股
600008,首创股份,5.66,220000.0,220000.0,北京首都创业集团有限公司,130929.0,59.513,国有股
600009,上海机场,12.8,192695.845,109347.64,上海机场（集团）有限公司,19269.6,10.0,国有股
600010,包钢股份,8.35,642364.366,272065.22,包头钢铁（集团）有限责任公司,22802.1,3.55,国有股
600011,华能国际,5.28,1405538.344,900000.0,HKSCC NOMINEES LIMITED,246664.0,17.549,境外法人股
600012,皖通高速,5.28,165861.0,116560.0,安徽省高速公路控股集团有限公司,51858.1,31.266,国有股
600015,华夏银行,10.87,684972.578,420000.0,首钢总公司,42801.2,8.577,国有股
600016,民生银行,5.73,2671473.299,2258760.239,香港中央结算（代理人）有限公司,408084.0,15.276,境外法人股
600017,日照港,4.16,263063.166,226515.306,日照港集团有限公司,99062.6,43.733,国有股
600018,上港集团,3.9,2275517.965,2099080.013,上海市国有资产监督管理委员会,928449.0,44.231,国有股
600019,宝钢股份,6.03,1751204.809,1751204.809,宝钢集团有限公司,1295350.0,73.969,国有股
600020,中原高速,3.32,214035.413,139050.013,华建交通经济开发中心,42815.3,20.004,国有股
600021,上海电力,5.76,213973.926,213973.926,中国电力投资集团公司,91664.6,42.839,国有股
600022,济南钢铁,4.77,312048.0,312048.0,济钢集团有限公司,214342.0,68.689,国有股
600026,中海发展,8.44,340455.227,210855.227,中国海运(集团)总公司,157850.0,46.364,国有股
600027,华电国际,3.32,677108.42,519005.62,中国华电集团公司,304692.0,44.999,国有股
600028,中国石化,8.23,8670252.777,6992203.977,中国石油化工集团公司,6575800.0,75.843,国有股
600029,南方航空,7.84,981756.7,480000.0,中国南方航空集团公司,330000.0,33.613,国有股
600030,中信证券,13.08,994570.14,985570.14,中国中信集团公司,233253.0,23.453,国有股
600031,三一重工,18.04,759370.614,703080.0,三一集团有限公司,285421.0,56.38,境内法人股
600033,福建高速,3.24,274440.0,133974.753,福建省高速公路有限责任公司,4725.56,1.722,国有股
600035,楚天高速,4.7,93165.25,93165.25,湖北省高速公路集团有限公司,37606.7,40.366,国有股
600036,招商银行,13.02,2157660.888,1766613.089,香港中央结算（代理人）有限公司,385468.0,17.865,境外法人股
600037,歌华有线,10.19,106036.09,106036.09,北京北广传媒投资发展中心,47691.9,44.977,国有股
600038,哈飞股份,26.77,33735.0,16849.348,中国建银投资有限责任公司,3026.67,8.972,国有股
600039,四川路桥,9.52,30400.0,30400.0,四川省铁路产业投资集团有限责任公司,10880.9,35.793,国有股
600048,保利地产,10.99,594832.866,584322.916,保利南方集团有限公司,202955.0,44.356,国有股
600050,中国联通,5.25,2119659.64,2119659.64,中国联合网络通信集团有限公司,1293970.0,61.046,国有股
600051,宁波联合,14.14,30240.0,30240.0,浙江荣盛控股集团有限公司,9041.76,29.9,境内法人股
600052,浙江广厦,4.43,87178.909,87178.909,广厦控股创业投资有限公司,33705.0,38.662,境内法人股
600053,中江地产,8.14,43354.08,43354.08,江西江中制药（集团）有限责任公司,26144.8,72.366,国有股
600054,黄山旅游,16.62,47135.0,11762.0,"GAOLING FUND,L.P.",1940.22,4.116,境外法人股
600055,万东医疗,13.35,21645.0,21645.0,北京医药集团有限责任公司,11150.1,51.514,国有股
600056,中国医药,25.76,31095.792,31095.792,中国通用技术(集团)控股有限责任公司,19000.8,61.104,国有股
600058,五矿发展,34.28,107191.071,107191.071,中国五矿集团公司,67060.5,62.562,国有股
600059,古越龙山,10.48,63485.636,60398.68,中国绍兴黄酒集团有限公司,22653.4,35.683,国有股
600060,海信电器,13.42,86665.171,86665.171,海信集团有限公司,35845.2,41.361,国有股
600061,中纺投资,10.56,42908.294,42908.294,中国国投国际贸易有限公司,15442.4,35.989,国有股
600062,双鹤药业,24.79,57169.595,57169.595,中国工商银行－广发聚丰股票型证券投资基金,1836.81,3.213,境内法人股
600063,皖维高新,11.75,46807.915,36807.915,安徽皖维集团有限责任公司,14133.9,30.196,国有股
600064,南京高科,13.85,51621.883,51621.883,南京新港开发总公司,17789.4,34.461,国有股
600066,宇通客车,23.14,51989.172,51989.172,郑州宇通集团有限公司,17102.2,32.896,境内法人股
600067,冠城大通,9.3,73550.254,72705.0,福建丰榕投资有限公司,16821.3,22.871,境内法人股
600068,葛洲坝,11.99,348745.898,348745.898,中国葛洲坝集团公司,141384.0,40.541,国有股
600069,银鸽投资,9.62,82537.414,66180.0,漯河银鸽实业集团有限公司,16771.0,20.319,国有股
600070,浙江富润,10.3,14067.576,14067.576,富润控股集团有限公司,3607.42,25.644,国有股
600071,凤凰光学,10.81,23747.246,23747.246,凤凰光学控股有限公司,9371.27,39.463,国有股
600072,中船股份,26.0,39869.132,39869.132,江南造船(集团)有限责任公司,15949.5,40.005,国有股
600073,上海梅林,10.91,35640.0,35640.0,上海益民食品一厂（集团）有限公司,18084.0,50.741,国有股
600074,*ST中达,5.07,66124.08,66124.08,申达集团有限公司,14321.7,21.659,境内法人股
600075,新疆天业,11.77,43859.2,43859.2,新疆天业(集团)有限公司,18976.0,43.266,国有股
600076,ST华光,6.14,36553.6,36553.6,北京东方国兴科技发展有限公司,3413.88,9.339,境内法人股
600077,ST百科,9.17,15911.842,13122.19,北京和光建业投资顾问有限公司,605.26,3.804,境内法人股
600078,澄星股份,10.23,65223.665,65223.665,江苏红柳床单集团公司,10610.8,16.268,境内法人股
600079,人福医药,22.06,47158.569,39832.125,中国工商银行－嘉实策略增长混合型证券投资基金,1804.87,3.827,境内法人股
600080,*ST金花,7.16,30529.587,30529.587,金花投资有限公司,7800.0,25.549,境内法人股
600081,东风科技,10.34,31356.0,31356.0,东风汽车零部件(集团)有限公司,20381.4,65.0,境内法人股
600082,海泰发展,5.56,64611.583,62821.28,天津海泰控股集团有限公司,15541.0,24.053,国有股
600083,*ST博信,7.58,23000.0,22528.883,东莞市新世纪科教拓展有限公司,2235.18,9.718,境内法人股
